alim_nom_fr,"Energie, N x facteur Jones, avec fibres  (kcal/100 g)","Protéines, N x facteur de Jones (g/100 g)",Glucides (g/100 g),Lipides (g/100 g),Sucres (g/100 g),Fer (mg/100 g),Iode (µg/100 g),Magnésium (mg/100 g),Vitamine B1 ou Thiamine (mg/100 g),Vitamine B2 ou Riboflavine (mg/100 g),Vitamine B3 ou PP ou Niacine (mg/100 g),Vitamine B5 ou Acide pantothénique (mg/100 g),Vitamine B6 (mg/100 g),Vitamine B9 ou Folates totaux (µg/100 g),Vitamine B12 (µg/100 g)
,,,,,,,,,,,,,,,
"Fève, bouillie/cuite à l'eau",82.9,8.06,9.35,0.8,0.4,1.5,< 20,37.0,0.043,0.064,0.69,0.12,0.037,65.3,0
"Haricot blanc, bouilli/cuit à l'eau",112,6.75,12.0,1.1,0.3,1.7,< 20,33.0,0.03,0.017,0.32,0.061,0.039,31.1,0
"Lentille, bouillie/cuite à l'eau",-,9.02,12.2,0.38,1.8,1.44,3,35.6,0.17,0.073,1.06,0.64,0.18,181.0,0
"Pois cassé, bouilli/cuit à l'eau",-,8.6,16.3,1.49,3.85,2.09,2,20.9,0.15,0.06,0.71,0.44,0.094,119.0,0
"Pois chiche, appertisé, égoutté",-,6.74,15.0,2.68,0.5,1.15,-,27.5,0.03,0.015,0.14,0.3,0.29,36.5,0
"Fève, pelée, surgelée, cuite à l'eau",-,6.4,9.0,0.5,"< 0,2",1.3,< 20,22.0,0.043,0.038,0.57,0.28,0.042,49.1,-
"Lentille corail, bouillie/cuite à l'eau",-,10.6,15.0,0.5,0.26,2.2,< 20,25.0,0.12,"< 0,01",0.47,0.24,0.082,23.0,-
"Légume sec, cuit (aliment moyen)",,8.38,12.1,0.62,1.31,1.55,5.47,34.9,0.12,0.056,0.81,0.44,0.13,131.0,0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Riz complet, cuit, non salé",157,3.21,32.6,1.0,"< 0,2",0.32,< 20,49.0,0.065,"< 0,01",0.25,0.38,0.049,29.4,0.094
"Riz blanc, cuit, non salé",144,2.92,31.8,0.41,"< 0,2",0.04,< 20,7.1,0.03,"< 0,01",0.16,0.21,0.029,9.9,0.032
"Riz thaï, cuit, non salé",142,2.92,30.5,0.7,traces,"< 0,05",< 20,4.0,"< 0,015","< 0,01","< 0,1",0.068,"< 0,01",26.3,-
"Riz basmati, cuit, non salé",116,2.74,24.4,0.6,traces,0.17,< 20,7.1,"< 0,015","< 0,01","< 0,1",0.13,"< 0,01",8.77,-
"Flocons d'avoine, bouillis/cuits à l'eau",74.7,2.54,11.9,1.52,0.27,0.9,0.3,27.0,0.076,0.016,0.23,0.31,0.005,6.0,0
"Orge perlée, bouilli/cuite à l'eau, non salée",118,2.26,24.4,0.44,0.28,1.33,0.5,22.0,0.083,0.062,2.06,0.14,0.12,16.0,0
"Quinoa, bouilli/cuit à l'eau, non salé",148,4.66,27.9,1.1,0.87,1.6,-,71.0,0.14,0.014,0.2,0.61,0.089,49.9,0
"Boulgour de blé, cuit, non salé",110,3.73,21.7,0.5,traces,0.55,< 20,22.0,0.047,"< 0,01",0.34,0.19,0.039,10.8,0
"Pâtes sèches standard, cuites, non salées",125,3.99,25.0,0.55,0.6,0.43,< 20,17.0,0.025,"< 0,01",0.52,0.28,0.022,23.5,0.014
,,,,,,,,,,,,,,,
Bagette céréales,283,10.0,46.0,5.5,3,,,,,,,,,,
